user_id_1,user_id_2,country,region,city,cap,latitude,longitude
T-375710,T-729599,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-553760,T-642865,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-865127,T-755005,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-651282,T-23230,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-856525,T-239518,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-804803,T-239200,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-947062,T-397822,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-834397,T-838579,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-38034,T-160970,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-139545,T-783600,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-287815,T-561079,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-591386,T-877160,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-428481,T-759505,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-154116,T-284355,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-789228,T-880678,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-901983,T-857823,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-691289,T-277326,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-95861,T-330788,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-783735,T-137321,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-439423,T-748456,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-534265,T-449326,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-267742,T-853014,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-515480,T-797588,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-693963,T-467530,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-594350,T-629990,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-328949,T-846587,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-421722,T-170995,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-567790,T-918548,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-540943,T-638794,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-941617,T-773259,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-704873,T-674824,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-176855,T-412644,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-224588,T-430215,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-721212,T-329307,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-639258,T-600449,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-630000,T-7205,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-1013,T-699799,IT,Toscana,Firenze,50124,43.7549435,11.2216134
T-140484,T-31910,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-556960,T-301330,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-526587,T-737180,IT,Toscana,Firenze,50136,43.7668053,11.2991498
T-831588,T-105576,IT,Toscana,Livorno,57124,43.5377939,10.383479
T-193666,T-56978,IT,Toscana,Firenze,50136,43.7668053,11.2991498
